20180204;3;1.42;N/a;2.93;FunPlus Phoenix;Vici Gaming;1-0,1-0;Gimgoon,Pepper,Bing,Lwx,Crisp:Gimgoon,Pepper,Bing,Lwx,Crisp;Loong,Crash,Easyhoon,Martin,Caveman:Loong,Crash,Easyhoon,Martin,Caveman;CN;blue,red;LPL Spring 2018;FunPlus Phoenix,Vici Gaming
20180204;3;6.65;N/a;1.11;LGD Gaming;Invictus Gaming;1-0,0-1,0-1;Jinoo,Eimy,Yuuki,Fdy,Pyl:Jinoo,Eimy,Yuuki,Fdy,Pyl:Jinoo,Eimy,Yuuki,Fdy,Pyl;TheShy,Ning,Rookie,JackeyLove,Baolan:TheShy,Ning,Rookie,JackeyLove,Baolan:TheShy,Ning,Rookie,JackeyLove,Baolan;CN;blue,blue,red;LPL Spring 2018;LGD Gaming,Invictus Gaming,LGD Gaming
20180204;3;1.87;N/a;1.95;Flash Wolves;G-Rex;1-0,1-0;Hanabi,MooJin,Maple,Betty,SwordArt:Hanabi,MooJin,Maple,Betty,SwordArt;Pk,Empt2y,Candyseven,Stitch,Koala:Pk,Empt2y,Candyseven,Stitch,Koala;TW;blue,red;LMS Spring 2018;Flash Wolves,G-Rex
20180204;3;2.05;N/a;1.79;SK Telecom T1;Afreeca Freecs;0-1,0-1;Untara,blank,Faker,Bang,Wolf:Untara,blank,Faker,Bang,Wolf;Kiin,Spirit,kurO,Kramer,TusiN:Kiin,Spirit,kurO,Kramer,TusiN;KR;red,blue;LCK Spring 2018;SK Telecom T1,Afreeca Freecs
20180204;3;4.96;N/a;1.18;ROX Tigers;KT Rolster;0-1,1-0,0-1;Lindarang,Seonghwan,Lava,Sangyoon,Key:Lindarang,Seonghwan,Lava,Sangyoon,Key:Lindarang,Seonghwan,Lava,Sangyoon,Key;Smeb,Score,PawN,Deft,Mata:Smeb,Score,PawN,Deft,Mata:Smeb,Score,PawN,Deft,Mata;KR;red,red,red;LCK Spring 2018;ROX Tigers,KT Rolster,ROX Tigers
20180204;1;1.39;N/a;3.06;Team SoloMid;Golden Guardians;1-0;Hauntzer,MikeYeung,Bjergsen,Zven,Mithy;Lourlo,Contractz,Hai,Deftly,Matt;NA;blue;NA LCS Spring 2018;Team SoloMid
20180204;1;4.02;N/a;1.25;FlyQuest;Team Liquid;0-1;Flame,Shrimp,Keane,WildTurtle,Stunt;Impact,Xmithie,Pobelter,Doublelift,Olleh;NA;red;NA LCS Spring 2018;FlyQuest
20180204;1;2.15;N/a;1.71;Clutch Gaming;100 Thieves;0-1;Solo,Lira,Febiven,Apollo,Hakuho;ssumday,Meteos,Ryu,Cody Sun,Aphromoo;NA;red;NA LCS Spring 2018;Clutch Gaming
20180204;1;1.27;N/a;3.82;Cloud 9;Optic Gaming;1-0;Licorice,Svenskeren,Jensen,Sneaky,Smoothie;Zig,Akaadian,PowerOfEvil,Arrow,LemonNation;NA;blue;NA LCS Spring 2018;Cloud 9
20180204;1;2.81;N/a;1.44;CLG;Echo Fox;1-0;Darshan,Reignover,Huhi,Stixxay,Biofrost;Huni,Dardoch,FeniX,Altec,Adrian;NA;blue;NA LCS Spring 2018;CLG
20180205;2;;;;Asus ROG Army;G2 Vodafone;1-0,0-1;Kektz,Lamabear,Pretty,Sedrion,Anthrax:Kektz,Lamabear,Pretty,Sedrion,Anthrax;Agresivo,Hero,Roison,Nixerino,Homi:Agresivo,Hero,Roison,Nixerino,Homi;ES;blue,blue;LVP Spring 2018;Asus ROG Army,G2 Vodafone
20180205;2;;;;Giants Gaming LVP;E-Monkeyz Club;1-0,0-1;Th3Antonio,Razork,Kashtelan,Deadly,Mystiques:Th3Antonio,Razork,Kashtelan,Deadly,Mystiques;Moryo,RafaL0L,Ripi,Monk,Tasteless:Moryo,RafaL0L,Ripi,Monk,Tasteless;ES;blue,blue;LVP Spring 2018;Giants Gaming LVP,E-Monkeyz Club
20180205;3;1.61;N/a;2.35;Team WE;Rogue Warriors;0-1,0-1;957,Condi,xiye,Mystic,Ben:957,Condi,xiye,Mystic,Ben;Mouse,Flawless,Doinb,SmLz,Killua:Mouse,Flawless,Doinb,SmLz,Killua;CN;red,red;LPL Spring 2018;Team WE,Team WE
